feature,mean,scale,variance
total_files,97.9924694069658,440.95552244007587,194441.77277040028
python_files,45.04424223407593,212.82235725081574,45293.355745793844
python_file_ratio,0.33105090854866714,0.25455402262544435,0.06479775043479523
total_source_bytes,525332.4678380922,2849376.824307643,8118948286901.508
average_python_file_size,21816.696341838662,242801.32592929067,58952483873.02164
max_python_file_size,85586.80326325698,536638.4193760394,287980793150.414
directory_count,20.29902729839975,101.71361079807794,10345.658621582876
max_path_depth,5.1198619391277065,1.8853399333649392,3.5545066643405137
total_python_lines,12963.608722936931,68537.80630574617,4697430893.203979
blank_line_ratio,0.1393081771816131,0.07363094690140999,0.005421516341598258
comment_line_ratio,0.0478598998895352,0.058849345978291626,0.0034632455220726687
string_literal_count,3366.078757452149,21581.961549880456,465781064.34051836
long_string_count,47.14057106997176,475.8663049661336,226448.74020212126
long_line_count,23.850329463445245,406.89938561228877,165567.11001165808
import_statement_count,299.92500784436777,1485.1969455522647,2205809.967077777
unique_import_count,26.347976153122058,68.64140159328764,4711.642012690991
stdlib_import_count,10.091308440539693,12.105856046790123,146.55175062560497
third_party_import_count,16.246626921870096,61.77420282008438,3816.0521340569217
eval_count,0.26294320677753374,1.852724110846841,3.4325866309132183
exec_count,0.36868528396611233,3.8212243462048665,14.60175550402881
compile_count,0.1684970191402573,1.8770254911151587,3.5232246942961027
globals_access_count,0.8355820520866019,9.495293782439775,90.16060401483946
locals_access_count,1.4038280514590524,37.158195524034475,1380.7314946023755
os_system_count,0.21964229683087544,1.3968284475995398,1.9511297120233406
subprocess_count,1.720112958895513,13.691687152032634,187.4622970691355
popen_count,0.6727329777219956,5.9340497554438185,35.21294650008284
shell_true_count,0.318167555695011,1.6591757491192454,2.752864166465409
system_command_string_count,11.821148415437715,155.55371309469044,24196.95765754527
file_open_count,5.99027298399749,35.812119549675614,1282.5079066402584
pathlib_count,0.6322560401631628,6.426212306321766,41.29620460592131
file_delete_count,1.3420144336366489,7.503982924584491,56.30975973245561
chmod_count,0.24819579541888923,3.3324656026323587,11.105326992727848
tempfile_count,1.2613743332287417,11.44418351928613,130.96933642310026
socket_count,0.8904926262943207,7.799511258986931,60.83237587906391
http_client_count,1.6846564166928146,22.560813327348328,508.9902979914579
urlopen_count,0.37182303106369624,2.603875229160073,6.780166209033423
requests_count,1.94728584876059,18.221738019089518,332.03173643633244
http_url_count,73.82365861311578,532.5194295614145,283576.9428604144
ip_address_literal_count,4.284593661750863,29.911567567557178,894.7018743485384
environment_access_count,3.7414496391590837,26.633863957161157,709.3627092885682
credential_keyword_count,232.4465014119862,3190.4875160043935,10179210.589779884
token_keyword_count,149.09475996234704,1222.006414824975,1493299.677873389
base64_count,1.1374333228741764,6.7650471270250225,45.76586263086951
decode_count,3.4844681518669596,24.730337174659827,611.5895767723617
encode_count,6.022591779102604,81.16269222082357,6587.382608532134
hex_decode_count,0.5704424223407594,10.217848864496483,104.40443541769206
marshal_count,0.011923438970818953,0.18198338066290248,0.03311795083749887
pickle_count,0.9733291496705365,5.959299593100431,35.513251640326956
compressed_payload_count,0.5986821462190147,8.414574042195047,70.8050563115827
setup_py_present,0.6557891433950424,0.47511024278607056,0.22572974280023891
pyproject_present,0.50392218387198,0.49998461623701423,0.24998461647367437
setup_cfg_present,0.7100721681832445,0.45372864594908563,0.20586968415479068
install_hook_keyword_count,22.766551615939754,272.4397782886637,74223.43279397624
post_install_keyword_count,0.6024474427361155,3.969972835471991,15.760684314385522
native_library_count,0.08377784750549105,2.081688457083625,4.333426832355203
executable_file_count,0.5701286476310009,28.53194487470132,814.071878332995
binary_file_count,0.653906495136492,28.606114326548276,818.3097768635505
compressed_file_count,0.15123941010354566,3.3528553087119426,11.241638721157857
archive_file_count,0.2205836209601506,3.894189218412456,15.164709668799816
hidden_file_count,0.6272356448070285,2.6349462868803433,6.942941934744508
very_large_file_count,0.012864763100094132,0.14442092446799673,0.020857403424190818
ast_parse_success_ratio,0.9737810606997814,0.1510260878611199,0.02280887921463471
ast_parse_failure_count,0.31973642924380297,9.046183991071262,81.83344480031397
exception_handler_count,37.96925007844368,206.42720225170387,42612.18982946585
lambda_count,19.8205208660182,209.14892262436882,43743.27183493422
function_definition_count,606.5365547536868,3124.0466879263663,9759667.7083437
class_definition_count,114.19171634766238,683.8293866280537,467622.63001610024
max_ast_depth,13.541888923752746,7.481997174279951,55.980281715933174
